	id	bathrooms	m2	bedrooms
0	276627	1	44	2
0	438377			2
0	477486	2	85	2
0	325758	1	44	2
0	438885	1	50	2
0	838436	1	104	2
0	601114	1	68	2
0	428416			2
0	576958	1	75	2
0	692126	1	92	2
0	828758			2
0	637570	1	43	2
0	654324	2		2
0	421996			2
0	513241			2
0	471169			2
0	421993			2
0	861582	2	87	2
0	849047	1		2
0	477101			2
0	766532			2
0	422269			2
0	477109	1		2
0	376579	2		2
0	315076	1	60	2
0	472155	1	70	2
0	438842	1	72	2
0	460329	1	50	2
0	378831	1		2
0	638056	2		2
0	744570	1	79	2
0	892603	3	108	2
0	640914	1		2
0	465912	2	75	2
0	421045			2
0	561113	1	60	2
0	431781			2
0	561073	1	60	2
0	559922	2	80	2
0	370673	1	1	2
0	511633			2
0	241635	1		2
0	642418	2	82	2
0	515764	1	65	2
0	602254			2
0	602251			2
0	448894	2	70	2
0	561142	1	60	2
0	707351	1	50	2
0	471178			2
0	646867			2
0	646988			2
0	469785			2
0	638032	1		2
0	642036			2
0	782675	2	68	2
0	436121	1	77	2
0	522968	2	185	2
0	646862			2
0	843176	1		2
0	382963	1		2
0	439068	1	50	2
0	378842	1		2
0	639739			2
0	519518	2	78	2
0	752859	1		2
0	455852	1		2
0	857552	2	65	2
0	598057	2	75	2
0	616503			2
0	517455	2	75	2
0	597858	2	74	2
0	825815		74	2
0	402056			2
0	597560	2	75	2
0	646131	1	63	2
0	574268	1	55	2
0	609149	1	70	2
0	616875			2
0	402053	2		2
0	574499	1	65	2
0	559955	1	70	2
0	469823			2
0	616929	2		2
0	601911	1		2
0	519506	1	72	2
0	353052	1		2
0	777722	1		2
0	574264	1	55	2
0	570300	1	70	2
0	390894	2		2
0	797839	1	70	2
0	652329	2	80	2
0	428642			2
0	639540	2	76	2
0	831899	2	70	2
0	428627			2
0	428634			2
0	428620			2
0	428637			2
0	428394			2
0	638051	1		2
0	422225			2
0	456533	1	1000	2
0	511725			2
0	608297	2	95	2
0	469818			2
0	759934	2	55	2
0	764034	1	70	2
0	609327	1	70	2
0	562631	1	60	2
0	559894	2	80	2
0	692047	2	65	2
0	769326			2
0	625009	2	1	2
0	559963	2	80	2
0	639617	2	90	2
0	843182	1		2
0	843250	1		2
0	830549	1	70	2
0	643956	2		2
0	639733			2
0	267076	1	81	2
0	296318	1		2
0	831896	2	60	2
0	421845			2
0	421825			2
0	426714			2
0	623449	2		3
0	844650	1		3
0	654348	2		3
0	267100	2	111	3
0	637544	3		3
0	641938	4		3
0	641933	4		3
0	641942	2		3
0	641951	2		3
0	641966	2		3
0	641946	2		3
0	641929	4		3
0	641925	4		3
0	378454	1		3
0	654356	2		3
0	782907	1	90	3
0	354035	2		3
0	506991		106	3
0	372075	1	54	3
0	838190	3	104	3
0	849029			3
0	618179	2	90	3
0	425268			3
0	456771	3	94	3
0	460356			3
0	782663	4	181	3
0	567477	1	60	3
0	782678	2	107	3
0	654294	2		3
0	715889	2		3
0	354039	2		3
0	561147	2	80	3
0	559858	2	130	3
0	797729	1		3
0	561873	2	80	3
0	471165			3
0	508261	1	110	3
0	559939	1	80	3
0	611403			3
0	646995			3
0	560998	3	80	3
0	561154	2	80	3
0	460500	2	60	3
0	242104	1		3
0	361805	3	105	3
0	575136	2		3
0	133113	1		3
0	369734	3	115	3
0	515715			3
0	602445			3
0	611192	1	79	3
0	470968	2		3
0	573631	2		3
0	268189	2	120	3
0	654942	2		3
0	857153			3
0	643947	3		3
0	242386	1	8	3
0	641245			3
0	506930	2	90	3
0	843222	1		3
0	426717			3
0	843213	2		6
0	510991			4
0	782911	1	90	4
0	692129	4	164	4
0	828770			4
0	518043			4
0	460398			4
0	353815	3		4
0	353833	3		6
0	358149	2		5
0	608874			4
0	358125	5		5
0	353713	3		4
0	460364			4
0	576603	5	350	6
0	358103	4		4
0	353788	3		4
0	639556	4	158	4
0	782670	2	100	4
0	602449	2		5
0	513912	2	200	4
0	892606	3		4
0	728903	3	175	4
0	602238	2		4
0	844634	2		4
0	843228	1		4
0	844665	2		4
0	843245	2		4
0	398966	2	85	5
0	602243	2		4
0	844639	2		4
