	platform_id	platform	neighbourhood	furniture	property_type	size_sqm	bedrooms	bathrooms	price	price_sqm	price_bedroom	available_from	available_today	let_type	detailed_furniture	scraping_date
163	128380502	Rightmove	Lambeth	furnished	Apartment		2.0	2.0	3467.0		1733.5	2022-11-30	occupied	Long term	furnished	2022-10-27
164	126589808	Rightmove	City of Westminster	furnished	Apartment		3.0	3.0	5850.0		1950.0	2022-10-28	available	Long term	furnished	2022-10-27
165	123710906	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	1.0	5225.0		2612.5	2022-10-28	available	Long term	furnished	2022-10-27
166	460398	Spotahome	Kensington and Chelsea	furnished	Apartment		4.0		5375.0		1343.75	2023-02-06	occupied		furnished	2022-10-27
167	127125926	Rightmove	Islington	unfurnished	Flat	45.0	1.0	1.0	2145.0	47.67	2145.0		occupied	Long term	part furnished	2022-10-27
168	127930337	Rightmove	Islington	furnished	Flat		3.0	3.0	8300.0		2766.67	2023-01-09	occupied	Short term	furnished	2022-10-27
169	128110790	Rightmove	Hackney	furnished	Flat		2.0	2.0	3000.0		1500.0	2023-01-19	occupied	Long term	flexible	2022-10-27
170	128420033	Rightmove	City of Westminster	furnished	Flat		1.0	1.0	1690.0		1690.0	2022-10-28	available	Long term	flexible	2022-10-27
171	420058	Spotahome	Kensington and Chelsea	furnished	Apartment		1.0	1.0	3000.0		3000.0	2023-12-13	occupied		furnished	2022-10-27
172	128241059	Rightmove	Lambeth	furnished	Flat		4.0	1.0	3800.0		950.0		occupied	Long term	furnished	2022-10-27
173	127145192	Rightmove	Tower Hamlets	furnished	Apartment	60.0	2.0	2.0	4520.0	75.33	2260.0	2022-12-07	occupied	Long term	furnished	2022-10-27
174	85875789	Rightmove	Kensington and Chelsea	unfurnished	Flat		2.0	2.0	7150.0		3575.0		occupied	Long term	unfurnished	2022-10-27
175	128366387	Rightmove	Hammersmith and Fulham	unfurnished	Flat		2.0	1.0	2650.0		1325.0	2022-11-27	occupied	Long term	unfurnished	2022-10-27
176	70866831	Rightmove	Tower Hamlets	furnished	Apartment	80.0	2.0	1.0	7583.0	94.79	3791.5		occupied	Short term	furnished	2022-10-27
177	471466	Spotahome	Kensington and Chelsea	furnished	Apartment	44.0	1.0	1.0	3250.0	73.86	3250.0	2023-10-28	occupied		furnished	2022-10-27
178	128302256	Rightmove	City of Westminster	furnished	Flat		2.0	1.0	3467.0		1733.5	2022-10-28	occupied	Long term	furnished	2022-10-27
179	127931858	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	2.0	5850.0		2925.0	2022-10-28	available	Long term	furnished	2022-10-27
180	642371	Spotahome	Kensington and Chelsea	furnished	Apartment		1.0		4900.0		4900.0	2022-12-25	occupied		furnished	2022-10-27
181	123994643	Rightmove	Camden	furnished	Flat		3.0	2.0	4983.0		1661.0	2022-10-28	available	Long term	flexible	2022-10-27
182	128303120	Rightmove	Tower Hamlets	furnished	Flat		1.0	1.0	2232.0		2232.0		occupied	Long term	flexible	2022-10-27
